"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","16.35","1049316365.85","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"WBAI","500.com Limited","14.95","635157970.85","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",
"AHC","A.H. Belo Corporation","3.97","85921626.19","n/a","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",
"ANF","Abercrombie & Fitch Company","21.37","1407109210.01","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",
"AKR","Acadia Realty Trust","28.41","2316928542.75","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",
"ATV","Acorn International, Inc.","24.66","66092252.4","n/a","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"AEY","ADDvantage Technologies Group, Inc.","1.45","14943910.25","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",
"ADT","ADT Inc.","7.31","5605885935.91","n/a","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","49.26","2893778700","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","159.04","11593017069.76","n/a","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",
"ACM","AECOM","30.4","4752486081.6","n/a","2007","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/acm",
"AGNC","AGNC Investment Corp.","17.76","9269460372","n/a","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.31","8768651600.73","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",
"AGNCN","AGNC Investment Corp.","25.34","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",
"ADC","Agree Realty Corporation","65.38","2454287267.04","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/adc",
"ALEX","Alexander & Baldwin, Inc.","23.01","1657343778.09","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","336.5","1718603085","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","130.64","14047275154.64","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/are",
"ALLE","Allegion plc","86.75","8246087440.25","n/a","2013","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/alle",
"ATUS","Altice USA, Inc.","19.69","14080327092.59","n/a","2017","Consumer Services","Television Services","https://www.nasdaq.com/symbol/atus",
"ASPS","Altisource Portfolio Solutions S.A.","23.37","389677222.5","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AMZN","Amazon.com, Inc.","1626.23","795175451912.44","n/a","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn",
"AMBO","Ambow Education Holding Ltd.","6.16","132886852.56","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/ambo",
"AMC","AMC Entertainment Holdings, Inc.","14.19","1468866441.24","n/a","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/amc",
"AMCX","AMC Networks Inc.","62.42","3528577507.16","n/a","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx",
"UHAL","Amerco","363.82","7133705430.16","n/a","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal",
"AAT","American Assets Trust, Inc.","42.6","2011662354.6","n/a","2011","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aat",
"ACC","American Campus Communities Inc","45.21","6195193572.48","n/a","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","20.93","3692725778.56","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/aeo",
"AFIN","American Finance Trust, Inc.","12.78","1357630965.9","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/afin",
"AMH","American Homes 4 Rent","22.15","6568168162.1","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/amh",
"APEI","American Public Education, Inc.","29.59","485991811.69","n/a","2007","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/apei",
"AMT","American Tower Corporation (REIT)","170.43","75072346150.23","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/amt",
"COLD","Americold Realty Trust","29.15","4310172636","n/a","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cold",
"APU","AmeriGas Partners, L.P.","31.21","2901814417.12","n/a","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/apu",
"AXR","AMREP Corporation","6.4199","52180330.8896","n/a","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/axr",
