"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TPNL","3PEA International, Inc.","4.72","219008000","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"ACTG","Acacia Research Corporation","3.06","151896316.14","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","154.74","98841599691.18","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","65.52","10670982023.52","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","167.97","435409189816.26","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","1.34","50955422.9","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","181.33","9877683744.26","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.41","90317778.32","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","134.76","5549151727.08","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","23.01","1086310015.44","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","15.66","415838850.3","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","24.2802","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.29","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","24.86","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyi",
"RILYL","B. Riley Financial, Inc.","25.26","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","24.73","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","1.4","20220093.6","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/btn",
"BKNG","Booking Holdings Inc.","1836.96","85105596298.56","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bkng",
"BOXL","Boxlight Corporation","2.82","28685271.24","n/a","2017","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/boxl",
"BFAM","Bright Horizons Family Solutions Inc.","116.11","6742425261.9","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","102.98","12022967828.74","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","2.16","27534006","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","21.38","5666036264.64","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","28.88","31183234929.76","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics plc","26.27","1211239086.24","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","49.68","732944291.76","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cass",
"CBAT","CBAK Energy Technology, Inc.","1.19","31710498.82","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbat",
"CBZ","CBIZ, Inc.","19.53","1083750049.62","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cbz",
"CDK","CDK Global, Inc.","48.96","6304748356.8","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cdk",
"CCRC","China Customer Relations Centers, Inc.","11.19","205108224","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"CREG","China Recycling Energy Corporation","1.13","11633666.4","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"CMPR","Cimpress N.V","81.69","2524973119.83","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CLCT","Collectors Universe, Inc.","13.63","123493006.66","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"SCOR","comScore, Inc.","20.05","1181079635.75","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/scor",
"CNDT","Conduent Incorporated","12.81","2706640028.61","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cndt",
"CSGP","CoStar Group, Inc.","393.56","14333371371.72","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/csgp",
"CRAI","CRA International,Inc.","41.49","336116423.07","n/a","1998","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","33.53","16326303941.36","486916312","2003","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctrp",
"CTEK","CynergisTek, Inc.","4.7","45195825.1","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctek",
"DHX","DHI Group, Inc.","1.93","102078574.29","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/dhx",
"DBD","Diebold Nixdorf Incorporated","4.36","331901799.76","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
