"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","4.503","26983921.296","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","22.44","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.94","60375830.28","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.4542","30257694.39","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","19.32","162370921.44","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","45.69","1178058532.32","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"QFIN","360 Finance, Inc.","12.56","38936000","3100000","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"ABM","ABM Industries Incorporated","34.11","2252265528.69","n/a","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"ACNB","ACNB Corporation","36.62","257886242.88","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","22.89","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.74","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.17","10443944442.36","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.62","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AMG","Affiliated Managers Group, Inc.","104.98","5529599467.3","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","47.94","36495731799.3","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"AGFS","AgroFresh Solutions, Inc.","4.03","203270016.3","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.1","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
