"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.19","198260241.55","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","40.2","169547359.2","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"ARLP","Alliance Resource Partners, L.P.","19.67","2519638701.37","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AMR","Alta Mesa Resources, Inc.","0.9801","373299577.4871","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.1132","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"ALTM","Altus Midstream Company","8.4","2729406162","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/altm",
"AETI","American Electric Technologies, Inc.","0.93","8434476.9","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"APC","Anadarko Petroleum Corporation","48.45","24432409701.9","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDX","Andeavor Logistics LP","36.35","8923345108.45","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","10.21","3144832445.51","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","32.65","12392099911.3","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","0.9552","90272775.0048","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex",
"ARCH","Arch Coal, Inc.","88.22","1658483068","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.52","275625647.64","n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","24.35","26783334581.75","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BLDP","Ballard Power Systems, Inc.","3.47","804390447.23","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.4104","11674106.464","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","4.78","126962172.72","n/a","2005","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","1.67","925247080.56","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","0.5075","41061431.6875","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bxe",
"BRY","Berry Petroleum Corporation","12.13","990427818.74","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bry",
"BBL","BHP Group Plc","45.07","113975819804.7","n/a","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/bbl",
"BSM","Black Stone Minerals, L.P.","17.24","3530649439.24","n/a","2015","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bsm",
"BE","Bloom Energy Corporation","10.23","1119330416.49","n/a","2018","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/be",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","2.21","89270172.03","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","5.5","165872404.5","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bkepp",
"BCEI","Bonanza Creek Energy, Inc.","23.21","476824847.4","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bcei",
"BPMP","BP Midstream Partners LP","16.06","1682302184.2","n/a","2017","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","41.34","139596446842.32","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","24.19","517666000","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bpt",
"BGG","Briggs & Stratton Corporation","12.76","540879569.56","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bgg",
"BC","Brunswick Corporation","48.26","4186072737.82","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bc",
"BPL","Buckeye Partners L.P.","30.63","4706730280.32","n/a","1986","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpl",
"BWXT","BWX Technologies, Inc.","46.8","4620383118","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bwxt",
"CJ","C&J Energy Services, Inc","16.41","1104815869.29","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/cj",
"COG","Cabot Oil & Gas Corporation","25.07","10809679391.04","n/a","1990","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cog",
"WHD","Cactus, Inc.","33.15","2482595941.8","n/a","2018","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/whd",
"CRC","California Resources Corporation","20.5","996311541.5","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crc",
"CPE","Callon Petroleum Company","8.38","1907130648.74","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","51.7394","0","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpe^a",
"CLMT","Calumet Specialty Products Partners, L.P.","3.12","240691180.08","n/a","2006","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/clmt",
"CEI","Camber Energy, Inc.","0.4253","2879925.3295","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cei",
"CNQ","Canadian Natural Resources Limited","26.75","32152581592.25","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cnq",
"CPST","Capstone Turbine Corporation","0.8859","60609154.1355","n/a","2000","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cpst",
"CRZO","Carrizo Oil & Gas, Inc.","12.84","1176471830.88","n/a","1997","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crzo",
"CVE","Cenovus Energy Inc","7.7","9460978965.9","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cve",
"CDEV","Centennial Resource Development, Inc.","13.32","3679790792.4","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cdev",
"CHAP","Chaparral Energy, Inc.","7.75","360040223.25","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chap",
"CHK","Chesapeake Energy Corporation","2.84","2594952054.08","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","1.4","65450000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","118.37","226178362058.53","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cvx",
"SNP","China Petroleum & Chemical Corporation","83.66","101288173951.36","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/snp",
"CYD","China Yuchai International Limited","16.87","689279369.17","n/a","1994","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cyd",
"XEC","Cimarex Energy Co","76.17","7293769558.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/xec",
"CKX","CKX Lands, Inc.","10.3627","20129492.9365","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ckx",
"CLD","Cloud Peak Energy Inc","0.378","28644154.308","n/a","2009","Energy","Coal Mining","https://www.nasdaq.com/symbol/cld",
"CEO","CNOOC Limited","169.52","1776571464.72","n/a","2001","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ceo",
"CEIX","CNX Resources Corporation","34.85","968063509.1","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/ceix",
"CNX","CNX Resources Corporation","11.16","2272173879.6","n/a","1999","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cnx",
"CRK","Comstock Resources, Inc.","6.06","641578647.84","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crk",
"CXO","Concho Resources Inc.","120.19","24068070937.05","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cxo",
"COP","ConocoPhillips","68.68","79067292867.84","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cop",
"CCR","CONSOL Coal Resources LP","18.69","514391375.82","n/a","2015","Energy","Coal Mining","https://www.nasdaq.com/symbol/ccr",
"MCF","Contango Oil & Gas Company","3.76","128441265.36","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mcf",
"CLR","Continental Resources, Inc.","46.16","17356914669.84","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/clr",
"CTRA","Contura Energy, Inc.","64.6","1239462047.4","n/a","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/ctra",
"CLB","Core Laboratories N.V.","67.6","2989321415.6","n/a","1995","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","2.95","1622947104.95","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","12.28","73680000","n/a","1992","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","17.55","604494183.15","n/a","2012","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/capl",
"CCLP","CSI Compressco LP","2.64","118393194.48","n/a","2011","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/cclp",
"CMI","Cummins Inc.","146.71","23555948763.13","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","39.55","3975985190.45","n/a","2007","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cvi",
"CELP","Cypress Energy Partners, L.P.","7.35","87803394","n/a","2014","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/celp",
"DWSN","Dawson Geophysical Company","4.11","94298356.29","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dwsn",
"DKL","Delek Logistics Partners, L.P.","29.29","714534910.07","n/a","2012","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","31.92","2615793342.96","n/a","2017","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/dk",
"DNR","Denbury Resources Inc.","2.07","953141243.49","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dnr",
"DVN","Devon Energy Corporation","27.01","12646082000","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dvn",
"DO","Diamond Offshore Drilling, Inc.","10.92","1500786945.84","n/a","1995","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/do",
"FANG","Diamondback Energy, Inc.","102.89","16882729108.92","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/fang",
"DMLP","Dorchester Minerals, L.P.","17.05","550370146.7","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dmlp",
"DRQ","Dril-Quip, Inc.","37.86","1354526344.26","n/a","1997","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/drq",
"ESTE","Earthstone Energy, Inc.","6.11","391719902.47","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/este",
"ECT","ECA Marcellus Trust I","1.8253","32134406.5","n/a","2010","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ect",
"ECR","Eclipse Resources Corporation","1.14","344890969.32","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ecr",
"EC","Ecopetrol S.A.","18.88","38814159777.92","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ec",
"EMR","Emerson Electric Company","66.65","41531072568.85","n/a","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/emr",
"ENB","Enbridge Inc","37","74821917297","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","25.37","0","n/a","2018","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enba",
"ECA","Encana Corporation","6.88","6552624935.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eca",
"ERF","Enerplus Corporation","8.61","2062018388.22","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/erf",
"E","ENI S.p.A.","33.91","61617612270.15","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","4.41","1930427345.07","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"ENSV","ENSERVCO Corporation","0.51","27715862.79","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/ensv",
"EOG","EOG Resources, Inc.","98.85","57324975752.4","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eog",
